Date,day_of_week,is_weekend,festival,aqi,temperature_c,accident_count,patient_count,bed_count,advisory,most_required_med_category,staff_required_total,staff_required_details,Antibiotic,Analgesic,Antipyretic,Respiratory,Cardiovascular,Diabetes,Gastrointestinal,Anti-allergic,ORS,PPE
2022-01-01,5,1,None,214,25,25,246,85,Air Quality Alert: masks recommended; increase respiratory stock,PPE,54,"{""nurses"":31,""doctors"":13,""support"":10}",54,82,28,39,11,8,14,6,7,220
2022-01-02,6,1,None,163,25,23,227,173,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",62,67,30,23,10,9,17,5,12,188
2022-01-03,0,0,None,147,25,15,176,236,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",40,49,23,21,3,4,13,3,8,155
2022-01-04,1,0,None,196,25,19,178,207,Normal,PPE,41,"{""nurses"":23,""doctors"":9,""support"":9}",42,69,12,17,6,9,11,5,11,169
2022-01-05,2,0,None,109,24,17,182,197,Normal,PPE,42,"{""nurses"":23,""doctors"":10,""support"":9}",47,61,19,27,5,8,8,7,5,160
2022-01-06,3,0,None,282,24,16,218,200,Air Quality Alert: masks recommended; increase respiratory stock,PPE,49,"{""nurses"":28,""doctors"":11,""support"":10}",33,52,34,32,5,12,8,4,7,216
2022-01-07,4,0,None,141,23,21,190,215,Normal,PPE,43,"{""nurses"":24,""doctors"":10,""support"":9}",42,61,21,33,2,4,6,4,12,160
2022-01-08,5,1,None,137,23,25,249,231,Normal,PPE,55,"{""nurses"":32,""doctors"":13,""support"":10}",59,89,20,29,7,7,18,4,10,219
2022-01-09,6,1,None,179,22,18,222,237,Normal,PPE,50,"{""nurses"":28,""doctors"":12,""support"":10}",43,67,25,33,10,8,11,7,6,187
2022-01-10,0,0,None,194,20,21,167,226,Normal,PPE,39,"{""nurses"":21,""doctors"":9,""support"":9}",37,56,8,23,4,9,12,4,13,130
2022-01-11,1,0,None,231,20,13,212,211,Air Quality Alert: masks recommended; increase respiratory stock,PPE,48,"{""nurses"":27,""doctors"":11,""support"":10}",43,50,22,26,7,7,13,4,9,178
2022-01-12,2,0,None,171,21,18,172,203,Normal,PPE,40,"{""nurses"":22,""doctors"":9,""support"":9}",46,54,21,22,6,11,10,2,9,172
2022-01-13,3,0,None,147,21,17,255,230,Normal,PPE,56,"{""nurses"":32,""doctors"":13,""support"":11}",43,82,24,29,8,5,15,5,10,204
2022-01-14,4,0,None,202,22,24,249,244,Air Quality Alert: masks recommended; increase respiratory stock,PPE,55,"{""nurses"":32,""doctors"":13,""support"":10}",52,90,24,26,7,13,15,3,12,202
2022-01-15,5,1,None,252,23,26,255,270,Air Quality Alert: masks recommended; increase respiratory stock,PPE,56,"{""nurses"":32,""doctors"":13,""support"":11}",42,89,23,44,10,16,15,4,9,198
2022-01-16,6,1,None,121,24,28,203,255,Normal,PPE,47,"{""nurses"":26,""doctors"":11,""support"":10}",44,62,15,25,6,8,6,4,13,195
2022-01-17,0,0,None,146,25,17,230,236,Normal,PPE,51,"{""nurses"":29,""doctors"":12,""support"":10}",45,54,21,24,5,6,6,6,9,187
